Sl No,State/UT,Female (Numbers in Lakh),Male (Numbers in Lakh),Not Recorded (Numbers in Lakh),Total (Numbers in Lakh),SC (Numbers in Lakh),ST (Numbers in Lakh),OBC (Numbers in Lakh),Others (Numbers in Lakh),Not Recorded (Numbers in Lakh),Total (Numbers in Lakh)
1,Jammu and Kashmir,0.12,1.06,0.00,1.18,0.08,0.06,0.08,0.94,0.03,1.18
2,Himachal Pradesh,0.11,1.48,0.00,1.60,0.64,0.09,0.15,0.70,0.01,1.60
3,Punjab,0.78,8.84,0.04,9.66,1.68,0.05,3.53,4.29,0.11,9.66
4,Chandigarh,0.06,0.22,0.00,0.28,0.27,0.01,0.00,0.00,0.00,0.28
5,Uttarakhand,0.15,1.84,0.01,2.00,0.40,0.10,0.34,1.13,0.02,2.00
6,Haryana,0.16,4.67,0.03,4.87,0.51,0.07,2.10,1.85,0.33,4.87
7,Delhi,0.19,1.49,0.07,1.75,0.07,0.07,0.10,1.48,0.03,1.75
8,Rajasthan,0.55,8.57,0.01,9.14,1.16,0.61,4.82,2.38,0.15,9.14
9,Uttar Pradesh,0.75,21.56,0.03,22.34,2.60,0.11,12.04,7.26,0.33,22.34
10,Bihar,0.47,6.98,0.04,7.48,1.18,0.09,4.72,1.32,0.17,7.48
11,Sikkim,0.01,0.05,0.00,0.06,0.05,0.01,0.00,0.00,0.00,0.06
12,Arunachal Pradesh,0.06,0.19,0.00,0.25,0.00,0.21,0.00,0.01,0.02,0.25
13,Nagaland,0.04,0.12,0.00,0.16,0.00,0.14,0.00,0.01,0.01,0.16
14,Manipur,0.01,0.42,0.02,0.44,0.16,0.15,0.02,0.10,0.02,0.44
15,Mizoram,0.01,0.08,0.00,0.10,0.06,0.03,0.00,0.00,0.00,0.10
16,Tripura,0.02,0.24,0.00,0.26,0.03,0.02,0.08,0.13,0.00,0.26
17,Meghalaya,0.16,0.31,0.00,0.47,0.01,0.42,0.00,0.04,0.00,0.47
18,Assam,0.20,1.93,0.01,2.14,0.24,0.28,0.44,1.09,0.09,2.14
19,West Bengal,2.05,18.27,0.48,20.80,4.05,0.33,2.61,13.11,0.70,20.80
20,Jharkhand,0.24,4.01,0.00,4.25,0.20,0.67,2.21,1.14,0.04,4.25
21,Orissa,0.90,8.86,0.01,9.77,1.04,1.59,3.97,2.98,0.19,9.77
22,Chhattisgarh,0.12,2.66,0.00,2.78,0.36,0.53,1.49,0.36,0.03,2.78
23,Madhya Pradesh,1.06,10.42,0.02,11.50,1.62,0.98,6.02,2.56,0.32,11.50
24,Gujarat,0.57,12.46,0.00,13.03,2.20,2.10,3.75,4.98,0.00,13.03
25,Daman & Diu,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01
26,Dadar and Nagar Haveli,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0.04,0.00,0.04
27,Maharashtra,0.85,13.57,0.03,14.45,0.72,0.41,4.89,8.21,0.22,14.45
28,Andhra Pradesh,1.11,13.69,0.09,14.90,0.61,0.23,9.36,4.47,0.24,14.90
29,Karnataka,1.86,9.26,0.00,11.12,0.60,0.52,6.03,3.90,0.06,11.12
30,Goa,0.10,0.46,0.00,0.56,0.00,0.00,0.05,0.51,0.00,0.56
31,Lakshadweep,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01
32,Kerala,2.31,10.63,0.00,12.94,0.46,0.06,8.05,4.31,0.07,12.94
33,Tamil Nadu,3.03,15.15,0.03,18.21,1.58,0.34,14.22,1.99,0.07,18.21
34,Puducherry,0.02,0.10,0.00,0.13,0.01,0.00,0.10,0.01,0.00,0.13
35,Andaman and Nicobar Islands,0.00,0.06,0.00,0.07,0.00,0.00,0.00,0.07,0.00,0.07
NA,All India,18.06,179.74,0.93,198.74,22.61,10.30,91.17,71.39,3.27,198.74
